g = [('a', 2), ('b', 2), ('a', 3), ('b', 3), ('a', 1), ('b', 1), ('a', 1), ('b', -3), ('a', -2), ('b', 1)] n=7, fixed words = 1863
g = [('b', 3), ('a', -1), ('b', 2), ('a', 1), ('b', 2), ('a', -3), ('b', -1), ('a', 1), ('b', 3), ('a', -2)] n=7, fixed words = 2025
g = [('a', 2), ('b', -1), ('a', 3), ('b', 2), ('a', -1), ('b', 2), ('a', -1), ('b', 2), ('a', -3), ('b', -3)] n=7, fixed words = 2025
g = [('a', -3), ('b', 2), ('a', 3), ('b', -3), ('a', -1), ('b', -1), ('a', -2), ('b', 3), ('a', 1), ('b', -2)] n=7, fixed words = 1863
g = [('a', 3), ('b', 3), ('a', -3), ('b', -2), ('a', -2), ('b', 3), ('a', 2), ('b', -2), ('a', -1), ('b', 3)] n=7, fixed words = 1863
g = [('b', -1), ('a', -3), ('b', -2), ('a', -2), ('b', -2), ('a', -1), ('b', -2), ('a', -1), ('b', -1), ('a', 2)] n=7, fixed words = 1863
g = [('b', -1), ('a', -3), ('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 2), ('a', -1), ('b', -2), ('a', 1)] n=7, fixed words = 1863
g = [('a', 3), ('b', -2), ('a', 3), ('b', 2), ('a', 2), ('b', 3), ('a', 3), ('b', -1), ('a', -3), ('b', 3)] n=7, fixed words = 1863
g = [('a', -2), ('b', 1), ('a', 2), ('b', 2), ('a', 3), ('b', 2), ('a', -2), ('b', 3), ('a', 1), ('b', 2)] n=7, fixed words = 1863
g = [('a', -1), ('b', 2), ('a', -2), ('b', 3), ('a', -3), ('b', -2), ('a', 3), ('b', -1), ('a', 1), ('b', -1)] n=7, fixed words = 1863
g = [('b', 1), ('a', -1), ('b', 3), ('a', -2), ('b', 1), ('a', -2), ('b', 1), ('a', -3), ('b', 1), ('a', 2)] n=7, fixed words = 1998
g = [('a', -2), ('b', 1), ('a', -3), ('b', 3), ('a', -2), ('b', -2), ('a', 2), ('b', -2), ('a', 3), ('b', 1)] n=7, fixed words = 1863
g = [('a', 1), ('b', 2), ('a', 1), ('b', 3), ('a', 2), ('b', 1), ('a', 2), ('b', 1), ('a', 2), ('b', -2)] n=7, fixed words = 1863
g = [('a', 2), ('b', 2), ('a', -3), ('b', 3), ('a', 2), ('b', -2), ('a', -3), ('b', -1), ('a', -1), ('b', 2)] n=7, fixed words = 1998
g = [('a', 3), ('b', -3), ('a', -2), ('b', 2), ('a', 2), ('b', -1), ('a', 3), ('b', -1), ('a', 1), ('b', 1)] n=7, fixed words = 1863
g = [('a', 3), ('b', -2), ('a', 2), ('b', -2), ('a', 1), ('b', -2), ('a', 3), ('b', -2), ('a', 2), ('b', 1)] n=7, fixed words = 1863
g = [('b', -3), ('a', -2), ('b', 1), ('a', 2), ('b', 3), ('a', 3), ('b', 1), ('a', 2), ('b', 3), ('a', -3)] n=7, fixed words = 1863
g = [('a', 2), ('b', -1), ('a', 1), ('b', 2), ('a', -2), ('b', -3), ('a', 1), ('b', -3), ('a', 2), ('b', 2)] n=7, fixed words = 1998
g = [('b', -2), ('a', -3), ('b', -2), ('a', 2), ('b', -2), ('a', -1), ('b', -1), ('a', -2), ('b', -2), ('a', -2)] n=7, fixed words = 2160
g = [('a', -1), ('b', 3), ('a', 3), ('b', 1), ('a', -2), ('b', 1), ('a', -1), ('b', -1), ('a', -3), ('b', -2)] n=7, fixed words = 1863
g = [('b', -2), ('a', 2), ('b', 1), ('a', 2), ('b', -1), ('a', -1), ('b', 1), ('a', -3), ('b', 1), ('a', -2)] n=7, fixed words = 2025
g = [('b', -3), ('a', 3), ('b', 1), ('a', -1), ('b', 1), ('a', -2), ('b', -3), ('a', 1), ('b', -2), ('a', -3)] n=7, fixed words = 1998
g = [('a', -1), ('b', -1), ('a', 1), ('b', 3), ('a', 2), ('b', 3), ('a', -3), ('b', -2), ('a', -2), ('b', 3)] n=7, fixed words = 2133
g = [('a', -2), ('b', 1), ('a', -1), ('b', -2), ('a', 3), ('b', 3), ('a', 1), ('b', 3), ('a', 1), ('b', -1)] n=7, fixed words = 1863
g = [('b', 2), ('a', -3), ('b', -1), ('a', 1), ('b', 2), ('a', -2), ('b', -3), ('a', -1), ('b', 3), ('a', -3)] n=7, fixed words = 1998
g = [('b', -1), ('a', 2), ('b', 2), ('a', -1), ('b', 1), ('a', -2), ('b', 2), ('a', 3), ('b', -1), ('a', -2)] n=7, fixed words = 2160
g = [('b', 2), ('a', 1), ('b', 2), ('a', -1), ('b', -3), ('a', -3), ('b', -2), ('a', -2), ('b', 2), ('a', 1)] n=7, fixed words = 1863
g = [('b', -1), ('a', 3), ('b', 3), ('a', 3), ('b', -2), ('a', -1), ('b', -1), ('a', -2), ('b', 3), ('a', 3)] n=7, fixed words = 1998
g = [('b', 2), ('a', 1), ('b', -1), ('a', -3), ('b', 2), ('a', -2), ('b', 1), ('a', -1), ('b', 1), ('a', -3)] n=7, fixed words = 1863
g = [('b', -2), ('a', -2), ('b', 2), ('a', -3), ('b', 1), ('a', 3), ('b', -3), ('a', 2), ('b', 1), ('a', -2)] n=7, fixed words = 1863
g = [('a', -1), ('b', -3), ('a', -2), ('b', 2), ('a', 2), ('b', -2), ('a', -2), ('b', 1), ('a', -3), ('b', 3)] n=7, fixed words = 1998
g = [('a', 2), ('b', 1), ('a', -3), ('b', -1), ('a', -3), ('b', -3), ('a', -1), ('b', -3), ('a', -1), ('b', -2)] n=7, fixed words = 1998
g = [('a', -1), ('b', -2), ('a', -2), ('b', 2), ('a', -2), ('b', 3), ('a', -1), ('b', -3), ('a', -3), ('b', -3)] n=7, fixed words = 2160
g = [('a', -2), ('b', -1), ('a', -1), ('b', -2), ('a', -1), ('b', 2), ('a', 2), ('b', 2), ('a', -2), ('b', 1)] n=7, fixed words = 1863
g = [('a', 2), ('b', 1), ('a', -1), ('b', -1), ('a', -2), ('b', 1), ('a', -1), ('b', 1), ('a', -3), ('b', 1)] n=7, fixed words = 1998
g = [('b', 1), ('a', -3), ('b', -2), ('a', 3), ('b', 3), ('a', 3), ('b', -1), ('a', 3), ('b', -1), ('a', -1)] n=7, fixed words = 2025
g = [('a', 3), ('b', -1), ('a', 2), ('b', -1), ('a', -1), ('b', 2), ('a', 2), ('b', -2), ('a', -2), ('b', 3)] n=7, fixed words = 1863
g = [('b', -1), ('a', 3), ('b', 1), ('a', -2), ('b', 2), ('a', 2), ('b', 2), ('a', 1), ('b', -2), ('a', -1)] n=7, fixed words = 1998
g = [('a', 2), ('b', -1), ('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', 1), ('b', -3), ('a', -1), ('b', -2)] n=7, fixed words = 1998
g = [('b', 1), ('a', -1), ('b', 1), ('a', -3), ('b', -3), ('a', -3), ('b', 3), ('a', 3), ('b', -1), ('a', -3)] n=7, fixed words = 1863
g = [('a', 1), ('b', -3), ('a', -1), ('b', -1), ('a', 2), ('b', 3), ('a', 1), ('b', -3), ('a', 2), ('b', 1)] n=7, fixed words = 1998
g = [('b', 3), ('a', -1), ('b', 3), ('a', -3), ('b', -3), ('a', 2), ('b', -2), ('a', 1), ('b', 1), ('a', -1)] n=7, fixed words = 1863
g = [('b', -2), ('a', -1), ('b', 2), ('a', -2), ('b', 3), ('a', 3), ('b', 1), ('a', 1), ('b', -3), ('a', 3)] n=7, fixed words = 1863
g = [('b', -1), ('a', -1), ('b', 3), ('a', -1), ('b', 3), ('a', 3), ('b', -3), ('a', 2), ('b', -1), ('a', -3)] n=7, fixed words = 2025
g = [('b', 2), ('a', -1), ('b', -1), ('a', -3), ('b', 1), ('a', 2), ('b', 3), ('a', 3), ('b', 2), ('a', -2)] n=7, fixed words = 1863
g = [('a', -2), ('b', 2), ('a', 3), ('b', 1), ('a', 3), ('b', -1), ('a', -3), ('b', -3), ('a', 3), ('b', 1)] n=7, fixed words = 2025
g = [('a', -3), ('b', 3), ('a', -2), ('b', -3), ('a', 1), ('b', 3), ('a', 3), ('b', 3), ('a', 2), ('b', 2)] n=7, fixed words = 1863
g = [('b', -1), ('a', 2), ('b', 1), ('a', -3), ('b', -1), ('a', 3), ('b', 3), ('a', 2), ('b', -1), ('a', 2)] n=7, fixed words = 1998
g = [('b', 1), ('a', 2), ('b', 3), ('a', -1), ('b', 2), ('a', -3), ('b', -2), ('a', -1), ('b', 3), ('a', -3)] n=7, fixed words = 1998
g = [('b', 1), ('a', 3), ('b', 2), ('a', 2), ('b', 2), ('a', -1), ('b', 2), ('a', 3), ('b', 2), ('a', -1)] n=7, fixed words = 2160
g = [('b', 2), ('a', -1), ('b', -2), ('a', -3), ('b', -3), ('a', -3), ('b', -1), ('a', -1), ('b', -2), ('a', 2)] n=7, fixed words = 2133
g = [('a', 1), ('b', -3), ('a', 2), ('b', 3), ('a', -2), ('b', -2), ('a', 1), ('b', -3), ('a', -1), ('b', -1)] n=7, fixed words = 1998
g = [('b', -2), ('a', -3), ('b', -3), ('a', -2), ('b', 3), ('a', -1), ('b', -1), ('a', 1), ('b', -3), ('a', -2)] n=7, fixed words = 1998
g = [('b', -3), ('a', -2), ('b', 1), ('a', -2), ('b', 3), ('a', 2), ('b', 3), ('a', -2), ('b', 3), ('a', -2)] n=7, fixed words = 1998
g = [('a', -1), ('b', 1), ('a', 3), ('b', 3), ('a', 1), ('b', -1), ('a', -1), ('b', -3), ('a', -3), ('b', 1)] n=7, fixed words = 1863
g = [('b', -2), ('a', -2), ('b', 2), ('a', 1), ('b', 2), ('a', 3), ('b', 1), ('a', -3), ('b', 1), ('a', 2)] n=7, fixed words = 1863
g = [('b', -3), ('a', -1), ('b', -1), ('a', -3), ('b', 1), ('a', -1), ('b', -1), ('a', 2), ('b', -2), ('a', -2)] n=7, fixed words = 1998
g = [('a', 3), ('b', -1), ('a', 2), ('b', 1), ('a', -1), ('b', 2), ('a', -3), ('b', -1), ('a', -3), ('b', 2)] n=7, fixed words = 1998
g = [('a', 1), ('b', -3), ('a', 2), ('b', -2), ('a', -3), ('b', 3), ('a', 1), ('b', -3), ('a', 1), ('b', -2)] n=7, fixed words = 1863
g = [('a', 3), ('b', -3), ('a', -1), ('b', -1), ('a', 3), ('b', 1), ('a', -1), ('b', 3), ('a', 1), ('b', 3)] n=7, fixed words = 1998
g = [('b', 1), ('a', -3), ('b', -2), ('a', 3), ('b', -2), ('a', 3), ('b', -3), ('a', -3), ('b', 2), ('a', -2)] n=7, fixed words = 1863
g = [('a', -1), ('b', 3), ('a', -3), ('b', -2), ('a', -3), ('b', -2), ('a', 3), ('b', -1), ('a', 3), ('b', 1)] n=7, fixed words = 1863
g = [('b', -3), ('a', -2), ('b', 2), ('a', 1), ('b', 1), ('a', 2), ('b', -3), ('a', -2), ('b', -2), ('a', -3)] n=7, fixed words = 1863
g = [('b', 1), ('a', 2), ('b', 2), ('a', -3), ('b', 1), ('a', 3), ('b', -1), ('a', 1), ('b', 3), ('a', 1)] n=7, fixed words = 1998
g = [('b', 3), ('a', -2), ('b', 3), ('a', -1), ('b', -3), ('a', 2), ('b', 3), ('a', 3), ('b', 1), ('a', 1)] n=7, fixed words = 1998
g = [('b', 2), ('a', 1), ('b', 3), ('a', -3), ('b', -3), ('a', 2), ('b', -2), ('a', 1), ('b', 1), ('a', -3)] n=7, fixed words = 1863
g = [('a', -1), ('b', -3), ('a', -2), ('b', 3), ('a', -3), ('b', -1), ('a', -3), ('b', -1), ('a', 1), ('b', -2)] n=7, fixed words = 1863
g = [('a', -3), ('b', -2), ('a', -1), ('b', 3), ('a', 1), ('b', -1), ('a', 2), ('b', -1), ('a', 3), ('b', 2)] n=7, fixed words = 1863
g = [('a', 2), ('b', -1), ('a', -2), ('b', -3), ('a', 1), ('b', 2), ('a', -3), ('b', 1), ('a', -2), ('b', -3)] n=7, fixed words = 1863
g = [('b', -1), ('a', 3), ('b', -2), ('a', -2), ('b', -2), ('a', -1), ('b', -2), ('a', -1), ('b', -2), ('a', -3)] n=7, fixed words = 2025
g = [('b', 3), ('a', 2), ('b', -3), ('a', 1), ('b', 1), ('a', -1), ('b', -1), ('a', -3), ('b', 1), ('a', -2)] n=7, fixed words = 1998
g = [('a', 1), ('b', 3), ('a', -2), ('b', 3), ('a', 3), ('b', -3), ('a', 3), ('b', -2), ('a', -1), ('b', -1)] n=7, fixed words = 2025
g = [('b', 3), ('a', -1), ('b', -2), ('a', 1), ('b', -2), ('a', 1), ('b', -1), ('a', -2), ('b', 3), ('a', 1)] n=7, fixed words = 2025
g = [('b', -3), ('a', 3), ('b', 2), ('a', 1), ('b', -2), ('a', -2), ('b', 3), ('a', -1), ('b', -2), ('a', -3)] n=7, fixed words = 1863
g = [('a', -2), ('b', -2), ('a', 2), ('b', -1), ('a', -2), ('b', 3), ('a', -3), ('b', -1), ('a', 2), ('b', 3)] n=7, fixed words = 1998
g = [('a', -3), ('b', 3), ('a', 3), ('b', 2), ('a', -1), ('b', 3), ('a', -2), ('b', 2), ('a', -2), ('b', 3)] n=7, fixed words = 1863
g = [('b', -3), ('a', 3), ('b', -2), ('a', 2), ('b', -1), ('a', -1), ('b', -1), ('a', 2), ('b', -1), ('a', -1)] n=7, fixed words = 1863
g = [('a', -2), ('b', 3), ('a', 1), ('b', -2), ('a', -1), ('b', -2), ('a', -1), ('b', -3), ('a', 2), ('b', 3)] n=7, fixed words = 1863
g = [('b', 2), ('a', 2), ('b', -3), ('a', -1), ('b', 1), ('a', -3), ('b', 2), ('a', -1), ('b', 1), ('a', 3)] n=7, fixed words = 2160
g = [('a', -1), ('b', -3), ('a', -1), ('b', -2), ('a', -3), ('b', -2), ('a', 3), ('b', -2), ('a', 3), ('b', 2)] n=7, fixed words = 1863
g = [('a', 1), ('b', 1), ('a', -1), ('b', 2), ('a', 1), ('b', 2), ('a', -2), ('b', 2), ('a', 2), ('b', 1)] n=7, fixed words = 1863
g = [('b', 3), ('a', 3), ('b', 2), ('a', -1), ('b', 1), ('a', -3), ('b', -2), ('a', 2), ('b', -2), ('a', -2)] n=7, fixed words = 1863
g = [('a', -1), ('b', 3), ('a', 1), ('b', 2), ('a', 1), ('b', 3), ('a', -2), ('b', 3), ('a', -3), ('b', -1)] n=7, fixed words = 1863
g = [('a', -2), ('b', 3), ('a', 1), ('b', -3), ('a', -3), ('b', -1), ('a', -3), ('b', 2), ('a', 2), ('b', 1)] n=7, fixed words = 1863
g = [('b', -2), ('a', -1), ('b', 3), ('a', 1), ('b', 1), ('a', -3), ('b', 3), ('a', -3), ('b', 3), ('a', -3)] n=7, fixed words = 2025
g = [('a', 2), ('b', 2), ('a', -3), ('b', -2), ('a', 2), ('b', -3), ('a', -3), ('b', -3), ('a', -3), ('b', 3)] n=7, fixed words = 1998
g = [('a', -3), ('b', -2), ('a', -3), ('b', -3), ('a', 1), ('b', 2), ('a', -2), ('b', -2), ('a', -1), ('b', 2)] n=7, fixed words = 1998
g = [('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', 3), ('b', 3), ('a', 2), ('b', -1), ('a', 2), ('b', 2)] n=7, fixed words = 2025
g = [('b', 2), ('a', 1), ('b', 3), ('a', 3), ('b', 3), ('a', 2), ('b', -3), ('a', 1), ('b', -1), ('a', -1)] n=7, fixed words = 1998
g = [('a', 3), ('b', -1), ('a', -3), ('b', -3), ('a', 2), ('b', 3), ('a', -2), ('b', 1), ('a', -1), ('b', 3)] n=7, fixed words = 1998
g = [('a', 2), ('b', 3), ('a', 3), ('b', -1), ('a', 3), ('b', -2), ('a', 2), ('b', -1), ('a', 2), ('b', -3)] n=7, fixed words = 1998
g = [('a', 3), ('b', 2), ('a', -1), ('b', 3), ('a', -1), ('b', 2), ('a', -3), ('b', 2), ('a', 3), ('b', -3)] n=7, fixed words = 1998
g = [('a', -3), ('b', 2), ('a', -1), ('b', -2), ('a', 1), ('b', -3), ('a', 1), ('b', -3), ('a', 3), ('b', 2)] n=7, fixed words = 1863
g = [('b', -3), ('a', 3), ('b', -2), ('a', 3), ('b', -3), ('a', 1), ('b', -2), ('a', 3), ('b', 2), ('a', -1)] n=7, fixed words = 2025
g = [('b', 2), ('a', 3), ('b', -1), ('a', 2), ('b', 2), ('a', -1), ('b', -1), ('a', 3), ('b', 1), ('a', -3)] n=7, fixed words = 1998
g = [('b', 1), ('a', 1), ('b', -3), ('a', 1), ('b', 2), ('a', 2), ('b', -2), ('a', 2), ('b', 3), ('a', 1)] n=7, fixed words = 1863
g = [('a', 1), ('b', -2), ('a', 3), ('b', 1), ('a', 1), ('b', 1), ('a', 3), ('b', -3), ('a', 1), ('b', -2)] n=7, fixed words = 2025
g = [('b', -3), ('a', 3), ('b', -2), ('a', 1), ('b', 2), ('a', 3), ('b', 2), ('a', -2), ('b', -2), ('a', 1)] n=7, fixed words = 2133
g = [('a', -1), ('b', 2), ('a', 1), ('b', 1), ('a', 2), ('b', -2), ('a', -1), ('b', -1), ('a', -1), ('b', -2)] n=7, fixed words = 2025
g = [('b', -3), ('a', -2), ('b', -1), ('a', -1), ('b', 3), ('a', 1), ('b', -1), ('a', -1), ('b', -2), ('a', -2)] n=7, fixed words = 1863
g = [('a', -1), ('b', 2), ('a', -1), ('b', 2), ('a', -2), ('b', -3), ('a', 2), ('b', 3), ('a', 2), ('b', -3)] n=7, fixed words = 2025
g = [('b', 2), ('a', -3), ('b', -2), ('a', 2), ('b', 1), ('a', -2), ('b', -1), ('a', -3), ('b', -1), ('a', -2)] n=7, fixed words = 1863
g = [('a', 2), ('b', -1), ('a', 1), ('b', 2), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', -1), ('b', 3)] n=7, fixed words = 1863
g = [('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', -1), ('b', -1), ('a', 1), ('b', -3), ('a', 2), ('b', 1)] n=7, fixed words = 1998
g = [('a', 1), ('b', 1), ('a', 3), ('b', -2), ('a', 2), ('b', -1), ('a', -2), ('b', 3), ('a', 1), ('b', -3)] n=7, fixed words = 1863
g = [('a', -3), ('b', -2), ('a', 2), ('b', -2), ('a', 3), ('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 3)] n=7, fixed words = 1998
g = [('b', -3), ('a', 3), ('b', -2), ('a', 1), ('b', 1), ('a', -1), ('b', -3), ('a', 3), ('b', -3), ('a', 2)] n=7, fixed words = 1863
g = [('b', -3), ('a', -1), ('b', -3), ('a', -1), ('b', -3), ('a', -2), ('b', 1), ('a', 2), ('b', -1), ('a', -1)] n=7, fixed words = 2160
g = [('a', -1), ('b', -3), ('a', 3), ('b', -3), ('a', -1), ('b', 1), ('a', -2), ('b', -2), ('a', 1), ('b', 3)] n=7, fixed words = 2025
g = [('b', 3), ('a', -3), ('b', -1), ('a', 2), ('b', -1), ('a', -1), ('b', -3), ('a', -1), ('b', -1), ('a', 1)] n=7, fixed words = 1998
g = [('b', -3), ('a', -2), ('b', -1), ('a', -1), ('b', 2), ('a', 1), ('b', -2), ('a', 3), ('b', 1), ('a', 1)] n=7, fixed words = 1998
g = [('b', -1), ('a', -3), ('b', 1), ('a', -3), ('b', -3), ('a', -2), ('b', -3), ('a', -2), ('b', 2), ('a', -3)] n=7, fixed words = 1863
g = [('b', -2), ('a', 3), ('b', 3), ('a', -1), ('b', -2), ('a', -2), ('b', -2), ('a', 1), ('b', 2), ('a', -2)] n=7, fixed words = 1863
g = [('a', 2), ('b', 1), ('a', -2), ('b', -2), ('a', -3), ('b', -1), ('a', -3), ('b', -2), ('a', -2), ('b', -3)] n=7, fixed words = 1863
g = [('a', -1), ('b', -3), ('a', -2), ('b', -1), ('a', -3), ('b', -2), ('a', 2), ('b', 2), ('a', 2), ('b', -3)] n=7, fixed words = 1863
g = [('b', 1), ('a', -2), ('b', -2), ('a', 1), ('b', -2), ('a', -2), ('b', -2), ('a', 1), ('b', 2), ('a', -2)] n=7, fixed words = 1998
g = [('b', 2), ('a', -2), ('b', -3), ('a', 1), ('b', -2), ('a', -1), ('b', 3), ('a', 1), ('b', 1), ('a', -2)] n=7, fixed words = 1998
g = [('b', -2), ('a', 3), ('b', 2), ('a', 2), ('b', -2), ('a', -3), ('b', -2), ('a', 3), ('b', -2), ('a', 2)] n=7, fixed words = 1998
g = [('b', -3), ('a', -3), ('b', 1), ('a', -1), ('b', -3), ('a', 2), ('b', -2), ('a', 3), ('b', -2), ('a', 3)] n=7, fixed words = 2025
g = [('a', 2), ('b', -3), ('a', 2), ('b', -1), ('a', -2), ('b', -1), ('a', -3), ('b', 1), ('a', 3), ('b', -2)] n=7, fixed words = 1998
g = [('a', -2), ('b', -2), ('a', 1), ('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', -2), ('a', -1), ('b', 1)] n=7, fixed words = 1863
g = [('b', 1), ('a', 2), ('b', -3), ('a', 1), ('b', 1), ('a', 1), ('b', -2), ('a', 2), ('b', -2), ('a', -2)] n=7, fixed words = 1863
g = [('a', -2), ('b', 1), ('a', -1), ('b', -1), ('a', 2), ('b', 3), ('a', -3), ('b', -3), ('a', -2), ('b', -3)] n=7, fixed words = 2133
g = [('a', -2), ('b', 3), ('a', 1), ('b', 3), ('a', 3), ('b', -2), ('a', -1), ('b', 1), ('a', 2), ('b', 3)] n=7, fixed words = 1998
g = [('b', -2), ('a', -3), ('b', 3), ('a', -3), ('b', 2), ('a', -1), ('b', 3), ('a', -1), ('b', 3), ('a', 1)] n=7, fixed words = 2025
g = [('b', -2), ('a', 2), ('b', 3), ('a', -1), ('b', -3), ('a', 3), ('b', -2), ('a', 1), ('b', 2), ('a', -3)] n=7, fixed words = 1863
g = [('b', 2), ('a', -1), ('b', 1), ('a', -3), ('b', 2), ('a', 3), ('b', -2), ('a', -2), ('b', 3), ('a', -3)] n=7, fixed words = 2133
g = [('b', 2), ('a', -1), ('b', -1), ('a', 2), ('b', -1), ('a', -1), ('b', -3), ('a', 2), ('b', 2), ('a', -3)] n=7, fixed words = 1863
g = [('a', 1), ('b', 3), ('a', 1), ('b', -2), ('a', -2), ('b', 2), ('a', -1), ('b', 3), ('a', 3), ('b', 2)] n=7, fixed words = 1863
g = [('a', -3), ('b', 1), ('a', 2), ('b', -3), ('a', 3), ('b', -1), ('a', -2), ('b', 3), ('a', 1), ('b', 2)] n=7, fixed words = 1863
g = [('b', 1), ('a', -3), ('b', 3), ('a', 2), ('b', 3), ('a', 1), ('b', 2), ('a', -1), ('b', -3), ('a', 3)] n=7, fixed words = 1998
g = [('b', -3), ('a', -1), ('b', -2), ('a', -1), ('b', 1), ('a', -2), ('b', 1), ('a', -1), ('b', 2), ('a', 1)] n=7, fixed words = 1863
g = [('b', -1), ('a', -3), ('b', -1), ('a', 3), ('b', -2), ('a', -1), ('b', 1), ('a', 1), ('b', 2), ('a', -3)] n=7, fixed words = 1998
g = [('b', 2), ('a', -3), ('b', 2), ('a', -3), ('b', 1), ('a', 2), ('b', 2), ('a', 3), ('b', -3), ('a', -3)] n=7, fixed words = 1863
g = [('a', 3), ('b', -2), ('a', 1), ('b', 1), ('a', -3), ('b', 1), ('a', -1), ('b', -2), ('a', 2), ('b', -2)] n=7, fixed words = 1863
g = [('a', -2), ('b', 3), ('a', 2), ('b', 3), ('a', -3), ('b', 2), ('a', -2), ('b', 2), ('a', -3), ('b', -3)] n=7, fixed words = 1863
g = [('a', 1), ('b', 1), ('a', -3), ('b', -1), ('a', 2), ('b', -2), ('a', 3), ('b', -1), ('a', -3), ('b', -3)] n=7, fixed words = 2160
g = [('a', 3), ('b', 2), ('a', 1), ('b', -2), ('a', 1), ('b', -1), ('a', -1), ('b', 3), ('a', 3), ('b', -2)] n=7, fixed words = 2025
g = [('b', 2), ('a', -2), ('b', 3), ('a', 3), ('b', -1), ('a', 1), ('b', -1), ('a', -2), ('b', -2), ('a', 2)] n=7, fixed words = 1863
g = [('a', -1), ('b', -1), ('a', -3), ('b', -3), ('a', 2), ('b', 1), ('a', 2), ('b', -3), ('a', -2), ('b', 3)] n=7, fixed words = 1998
g = [('a', -1), ('b', -1), ('a', 1), ('b', -1), ('a', 1), ('b', 1), ('a', 1), ('b', -1), ('a', -1), ('b', -3)] n=7, fixed words = 1863
g = [('b', 1), ('a', 1), ('b', -1), ('a', 2), ('b', 3), ('a', 1), ('b', 1), ('a', -1), ('b', -2), ('a', 2)] n=7, fixed words = 1863
g = [('a', 3), ('b', -3), ('a', -1), ('b', -1), ('a', -2), ('b', -3), ('a', 2), ('b', 3), ('a', 1), ('b', -2)] n=7, fixed words = 2133
g = [('b', -1), ('a', 2), ('b', 1), ('a', 3), ('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', -3), ('a', -3)] n=7, fixed words = 1998
g = [('a', 2), ('b', -2), ('a', 1), ('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', 2), ('a', -1), ('b', -2)] n=7, fixed words = 1998
g = [('b', 3), ('a', 3), ('b', -3), ('a', -2), ('b', -3), ('a', -2), ('b', 1), ('a', -1), ('b', 1), ('a', -3)] n=7, fixed words = 1863
g = [('b', 3), ('a', -2), ('b', -2), ('a', 3), ('b', -1), ('a', 3), ('b', 1), ('a', -3), ('b', -2), ('a', 3)] n=7, fixed words = 1863
g = [('a', -3), ('b', 1), ('a', -1), ('b', -2), ('a', 3), ('b', 3), ('a', 1), ('b', -1), ('a', 2), ('b', -1)] n=7, fixed words = 2025
g = [('b', -1), ('a', 3), ('b', 2), ('a', -2), ('b', -1), ('a', -3), ('b', 3), ('a', 3), ('b', -1), ('a', -2)] n=7, fixed words = 1863
g = [('b', 2), ('a', -2), ('b', -3), ('a', -3), ('b', -2), ('a', -3), ('b', -3), ('a', 1), ('b', 2), ('a', -2)] n=7, fixed words = 2025
g = [('b', -1), ('a', 1), ('b', 3), ('a', -1), ('b', -2), ('a', -1), ('b', 2), ('a', -2), ('b', -3), ('a', 3)] n=7, fixed words = 2025
g = [('a', 3), ('b', -2), ('a', 2), ('b', 1), ('a', 2), ('b', 1), ('a', -2), ('b', 3), ('a', -3), ('b', 3)] n=7, fixed words = 1998
g = [('b', -2), ('a', 1), ('b', -3), ('a', -3), ('b', 3), ('a', 2), ('b', -1), ('a', 2), ('b', -2), ('a', -3)] n=7, fixed words = 1863
g = [('b', -2), ('a', -2), ('b', 3), ('a', -3), ('b', -3), ('a', 1), ('b', 3), ('a', 2), ('b', -3), ('a', -1)] n=7, fixed words = 1998
g = [('a', -1), ('b', -1), ('a', 3), ('b', 3), ('a', -3), ('b', 2), ('a', -1), ('b', 3), ('a', 2), ('b', 3)] n=7, fixed words = 2025
g = [('b', -1), ('a', 3), ('b', -3), ('a', -3), ('b', -3), ('a', -2), ('b', -1), ('a', 1), ('b', 1), ('a', 2)] n=7, fixed words = 1863
g = [('b', -2), ('a', 2), ('b', -3), ('a', -1), ('b', 1), ('a', 3), ('b', -2), ('a', -3), ('b', 2), ('a', -1)] n=7, fixed words = 2025
g = [('b', 2), ('a', 1), ('b', -1), ('a', 2), ('b', -1), ('a', -3), ('b', -3), ('a', 2), ('b', -1), ('a', 1)] n=7, fixed words = 1998
g = [('b', 2), ('a', 3), ('b', 1), ('a', 3), ('b', 1), ('a', -1), ('b', -1), ('a', -3), ('b', 3), ('a', 2)] n=7, fixed words = 1998
g = [('a', -3), ('b', -2), ('a', 1), ('b', 1), ('a', 1), ('b', 1), ('a', -1), ('b', -1), ('a', -2), ('b', -3)] n=7, fixed words = 1863
g = [('a', -2), ('b', 1), ('a', 3), ('b', -2), ('a', -2), ('b', -2), ('a', 1), ('b', -1), ('a', -1), ('b', -3)] n=7, fixed words = 1863
g = [('b', -1), ('a', -1), ('b', 1), ('a', -2), ('b', 1), ('a', -1), ('b', 3), ('a', -1), ('b', -3), ('a', -2)] n=7, fixed words = 1863
